Timestamp,RoverID,RoverType,SensorType,Value,Status
2055-10-12T08:01:39Z,R-04,Hover,Atmosphere,93.5,OK
2055-10-12T08:01:41Z,R-01,Tracked,Atmosphere,98.0,OK
2055-10-12T08:01:44Z,R-03,Walker,Temperature,-27.2,OK
2055-10-12T08:01:49Z,R-02,Hover,Temperature,-68.2,OK
2055-10-12T08:01:51Z,R-05,Tracked,Temperature,-17.3,OK
2055-10-12T08:01:53Z,R-05,Tracked,Atmosphere,93.1,OK
2055-10-12T08:01:55Z,R-04,Hover,Radiation,-100.0,ERROR
2055-10-12T08:01:57Z,R-01,Tracked,Temperature,-63.0,OK
2055-10-12T08:01:59Z,R-04,Hover,Atmosphere,98.4,ERROR
2055-10-12T08:02:04Z,R-01,Tracked,Radiation,ERR,ERROR
2055-10-12T08:02:05Z,R-04,Hover,Radiation,243.8,OK
2055-10-12T08:02:10Z,R-03,Walker,Atmosphere,93.8,OK
2055-10-12T08:02:11Z,R-03,Walker,Radiation,129.5,OK
2055-10-12T08:02:15Z,R-04,Hover,Atmosphere,91.6,OK
2055-10-12T08:02:16Z,R-05,Tracked,Radiation,451.4,WARNING
2055-10-12T08:02:18Z,R-02,Hover,Temperature,,ERROR
2055-10-12T08:02:19Z,R-02,Hover,Temperature,-37.4,OK
2055-10-12T08:02:20Z,R-04,Hover,Atmosphere,95.4,OK
2055-10-12T08:02:21Z,R-02,Hover,Atmosphere,98.1,OK
2055-10-12T08:02:24Z,R-02,Hover,Radiation,238.3,OK
2055-10-12T08:02:29Z,R-03,Walker,Temperature,-14.1,OK
2055-10-12T08:02:34Z,R-03,Walker,Temperature,-70.8,OK
2055-10-12T08:02:39Z,R-04,Hover,Radiation,248.4,OK
2055-10-12T08:02:41Z,R-04,Hover,Atmosphere,98.3,OK
2055-10-12T08:02:46Z,R-02,Hover,Radiation,75.6,OK
2055-10-12T08:02:47Z,R-03,Walker,Radiation,273.8,OK
2055-10-12T08:02:51Z,R-05,Tracked,Temperature,NULL,ERROR
2055-10-12T08:02:56Z,R-03,Walker,Radiation,419.4,WARNING
2055-10-12T08:02:57Z,R-02,Hover,Temperature,-38.8,OK
2055-10-12T08:03:01Z,R-02,Hover,Radiation,152.2,OK
2055-10-12T08:03:03Z,R-05,Tracked,Radiation,247.9,OK
2055-10-12T08:03:08Z,R-02,Hover,Atmosphere,92.5,WARNING
2055-10-12T08:03:09Z,R-04,Hover,Temperature,-43.7,OK
2055-10-12T08:03:10Z,R-02,Hover,Atmosphere,95.5,OK
2055-10-12T08:03:13Z,R-01,Tracked,Temperature,-36.1,OK
2055-10-12T08:03:17Z,R-03,Walker,Temperature,-47.8,OK
2055-10-12T08:03:22Z,R-03,Walker,Atmosphere,90.7,OK
2055-10-12T08:03:27Z,R-04,Hover,Radiation,163.7,OK
2055-10-12T08:03:28Z,R-04,Hover,Temperature,-43.4,OK
2055-10-12T08:03:33Z,R-01,Tracked,Radiation,109.6,OK
2055-10-12T08:03:37Z,R-01,Tracked,Atmosphere,96.0,OK
2055-10-12T08:03:42Z,R-03,Walker,Temperature,-33.9,OK
2055-10-12T08:03:44Z,R-01,Tracked,Radiation,111.4,OK
2055-10-12T08:03:46Z,R-05,Tracked,Temperature,-24.8,OK
2055-10-12T08:03:47Z,R-02,Hover,Temperature,-21.3,OK
2055-10-12T08:03:52Z,R-05,Tracked,Temperature,NULL,ERROR
2055-10-12T08:03:57Z,R-03,Walker,Atmosphere,93.1,OK
2055-10-12T08:03:58Z,R-04,Hover,Radiation,#VALUE!,ERROR
2055-10-12T08:04:01Z,R-02,Hover,Radiation,417.5,WARNING
2055-10-12T08:04:02Z,R-03,Walker,Atmosphere,96.9,OK
2055-10-12T08:04:04Z,R-04,Hover,Temperature,-29.1,OK
2055-10-12T08:04:08Z,R-01,Tracked,Temperature,-72.4,OK
2055-10-12T08:04:11Z,R-05,Tracked,Temperature,-48.2,OK
2055-10-12T08:04:15Z,R-05,Tracked,Temperature,-34.7,OK
2055-10-12T08:04:17Z,R-05,Tracked,Radiation,280.9,OK
2055-10-12T08:04:21Z,R-03,Walker,Atmosphere,99.4,OK
2055-10-12T08:04:25Z,R-02,Hover,Atmosphere,96.7,OK
2055-10-12T08:04:26Z,R-03,Walker,Radiation,99999.0,ERROR
2055-10-12T08:04:28Z,R-01,Tracked,Temperature,-17.8,OK
2055-10-12T08:04:33Z,R-03,Walker,Temperature,-32.2,OK
2055-10-12T08:04:35Z,R-05,Tracked,Radiation,166.3,OK
2055-10-12T08:04:40Z,R-04,Hover,Atmosphere,93.5,OK
2055-10-12T08:04:45Z,R-04,Hover,Atmosphere,95.0,OK
2055-10-12T08:04:46Z,R-02,Hover,Atmosphere,95.3,OK
2055-10-12T08:04:48Z,R-01,Tracked,Radiation,67.0,OK
2055-10-12T08:04:50Z,R-05,Tracked,Temperature,-35.1,OK
2055-10-12T08:04:53Z,R-05,Tracked,Temperature,-22.7,OK
2055-10-12T08:04:56Z,R-02,Hover,Temperature,-55.4,OK
2055-10-12T08:04:57Z,R-04,Hover,Atmosphere,96.3,OK
2055-10-12T08:04:58Z,R-01,Tracked,Atmosphere,91.2,OK
2055-10-12T08:05:03Z,R-03,Walker,Temperature,-80.0,OK
2055-10-12T08:05:07Z,R-04,Hover,Temperature,-76.2,OK
2055-10-12T08:05:12Z,R-03,Walker,Radiation,177.1,OK
2055-10-12T08:05:16Z,R-03,Walker,Temperature,-20.2,OK
2055-10-12T08:05:19Z,R-02,Hover,Atmosphere,92.8,OK
2055-10-12T08:05:23Z,R-03,Walker,Atmosphere,93.2,OK
2055-10-12T08:05:28Z,R-02,Hover,Radiation,438.6,WARNING
2055-10-12T08:05:29Z,R-05,Tracked,Atmosphere,98.2,OK
2055-10-12T08:05:33Z,R-05,Tracked,Atmosphere,92.8,OK
2055-10-12T08:05:35Z,R-02,Hover,Radiation,107.0,OK
2055-10-12T08:05:39Z,R-04,Hover,Temperature,-73.8,WARNING
2055-10-12T08:05:40Z,R-04,Hover,Radiation,152.3,OK
2055-10-12T08:05:41Z,R-01,Tracked,Temperature,-26.7,OK
2055-10-12T08:05:45Z,R-05,Tracked,Temperature,-12.9,OK
2055-10-12T08:05:47Z,R-02,Hover,Temperature,-9999.0,ERROR
2055-10-12T08:05:49Z,R-01,Tracked,Atmosphere,91.9,WARNING
2055-10-12T08:05:51Z,R-05,Tracked,Atmosphere,93.5,OK
2055-10-12T08:05:56Z,R-04,Hover,Atmosphere,98.0,OK
2055-10-12T08:05:59Z,R-02,Hover,Radiation,-100.0,ERROR
2055-10-12T08:06:01Z,R-04,Hover,Temperature,-67.1,OK
2055-10-12T08:06:06Z,R-04,Hover,Radiation,53.0,OK
2055-10-12T08:06:07Z,R-01,Tracked,Atmosphere,97.5,OK
2055-10-12T08:06:10Z,R-03,Walker,Atmosphere,96.8,OK
2055-10-12T08:06:14Z,R-02,Hover,Temperature,-71.6,OK
2055-10-12T08:06:17Z,R-02,Hover,Temperature,-68.2,OK
2055-10-12T08:06:20Z,R-01,Tracked,Radiation,274.1,OK
2055-10-12T08:06:25Z,R-05,Tracked,Atmosphere,95.9,OK
2055-10-12T08:06:30Z,R-03,Walker,Atmosphere,93.0,OK
2055-10-12T08:06:35Z,R-03,Walker,Atmosphere,,ERROR
2055-10-12T08:06:39Z,R-02,Hover,Temperature,-50.0,OK
2055-10-12T08:06:42Z,R-01,Tracked,Temperature,-11.2,OK
2055-10-12T08:06:45Z,R-04,Hover,Temperature,,ERROR
2055-10-12T08:06:50Z,R-05,Tracked,Temperature,-76.5,OK
2055-10-12T08:06:55Z,R-05,Tracked,Temperature,5000.0,ERROR
2055-10-12T08:06:57Z,R-02,Hover,Radiation,280.7,OK
2055-10-12T08:06:58Z,R-05,Tracked,Radiation,70.3,OK
2055-10-12T08:07:02Z,R-02,Hover,Atmosphere,NaN,ERROR
2055-10-12T08:07:03Z,R-04,Hover,Temperature,5000.0,ERROR
2055-10-12T08:07:06Z,R-05,Tracked,Radiation,150.5,OK
2055-10-12T08:07:11Z,R-01,Tracked,Temperature,-58.5,OK
2055-10-12T08:07:15Z,R-02,Hover,Atmosphere,,ERROR
2055-10-12T08:07:16Z,R-02,Hover,Atmosphere,93.2,OK
2055-10-12T08:07:17Z,R-04,Hover,Temperature,-67.0,OK
2055-10-12T08:07:20Z,R-02,Hover,Temperature,-42.8,OK
2055-10-12T08:07:24Z,R-04,Hover,Temperature,-47.7,OK
2055-10-12T08:07:26Z,R-04,Hover,Temperature,-74.3,OK
2055-10-12T08:07:28Z,R-04,Hover,Radiation,-100.0,ERROR
2055-10-12T08:07:33Z,R-03,Walker,Radiation,116.9,OK
2055-10-12T08:07:35Z,R-05,Tracked,Temperature,-30.9,OK
2055-10-12T08:07:36Z,R-03,Walker,Atmosphere,92.1,OK
2055-10-12T08:07:39Z,R-05,Tracked,Radiation,181.3,OK
2055-10-12T08:07:43Z,R-01,Tracked,Temperature,-23.2,OK
2055-10-12T08:07:48Z,R-04,Hover,Radiation,488.9,WARNING
2055-10-12T08:07:52Z,R-02,Hover,Atmosphere,99.9,OK
2055-10-12T08:07:56Z,R-01,Tracked,Temperature,-13.6,OK
2055-10-12T08:08:00Z,R-02,Hover,Radiation,144.0,OK
2055-10-12T08:08:05Z,R-04,Hover,Atmosphere,97.7,OK
2055-10-12T08:08:08Z,R-05,Tracked,Radiation,283.8,OK
2055-10-12T08:08:09Z,R-04,Hover,Temperature,-16.4,OK
2055-10-12T08:08:13Z,R-04,Hover,Atmosphere,90.7,OK
2055-10-12T08:08:18Z,R-03,Walker,Radiation,52.2,OK
2055-10-12T08:08:19Z,R-01,Tracked,Radiation,154.0,OK
2055-10-12T08:08:20Z,R-04,Hover,Radiation,241.5,OK
2055-10-12T08:08:24Z,R-02,Hover,Temperature,-70.2,OK
2055-10-12T08:08:28Z,R-05,Tracked,Atmosphere,97.6,OK
2055-10-12T08:08:31Z,R-01,Tracked,Temperature,-35.8,OK
2055-10-12T08:08:34Z,R-03,Walker,Atmosphere,95.8,OK
2055-10-12T08:08:39Z,R-03,Walker,Temperature,-77.2,OK
2055-10-12T08:08:44Z,R-03,Walker,Radiation,208.5,OK
2055-10-12T08:08:49Z,R-05,Tracked,Radiation,210.9,OK
2055-10-12T08:08:53Z,R-02,Hover,Temperature,-37.7,OK
2055-10-12T08:08:57Z,R-02,Hover,Atmosphere,94.6,OK
2055-10-12T08:09:02Z,R-04,Hover,Temperature,-25.6,OK
2055-10-12T08:09:06Z,R-04,Hover,Temperature,-27.2,OK
2055-10-12T08:09:07Z,R-01,Tracked,Atmosphere,94.2,OK
2055-10-12T08:09:09Z,R-05,Tracked,Temperature,-61.1,OK
2055-10-12T08:09:10Z,R-03,Walker,Atmosphere,97.0,OK
2055-10-12T08:09:11Z,R-04,Hover,Radiation,196.0,OK
2055-10-12T08:09:15Z,R-02,Hover,Temperature,-68.4,OK
2055-10-12T08:09:20Z,R-01,Tracked,Atmosphere,99.6,OK
2055-10-12T08:09:21Z,R-01,Tracked,Radiation,114.4,OK
2055-10-12T08:09:25Z,R-01,Tracked,Atmosphere,97.6,OK
2055-10-12T08:09:29Z,R-04,Hover,Atmosphere,99.8,OK
2055-10-12T08:09:32Z,R-02,Hover,Temperature,-64.9,OK
2055-10-12T08:09:37Z,R-02,Hover,Temperature,-58.8,OK
2055-10-12T08:09:39Z,R-01,Tracked,Temperature,-65.6,OK
2055-10-12T08:09:44Z,R-05,Tracked,Atmosphere,94.4,OK
2055-10-12T08:09:47Z,R-04,Hover,Radiation,80.5,OK
2055-10-12T08:09:50Z,R-02,Hover,Radiation,231.6,OK
2055-10-12T08:09:51Z,R-03,Walker,Temperature,-26.5,OK
2055-10-12T08:09:52Z,R-05,Tracked,Atmosphere,96.6,OK
2055-10-12T08:09:55Z,R-04,Hover,Temperature,-10.7,OK
2055-10-12T08:09:59Z,R-04,Hover,Atmosphere,90.4,OK
2055-10-12T08:10:00Z,R-04,Hover,Radiation,62.2,OK
2055-10-12T08:10:05Z,R-05,Tracked,Radiation,247.9,OK
2055-10-12T08:10:06Z,R-01,Tracked,Temperature,-66.3,OK
2055-10-12T08:10:07Z,R-03,Walker,Radiation,259.9,OK
2055-10-12T08:10:12Z,R-02,Hover,Temperature,-35.9,OK
2055-10-12T08:10:17Z,R-03,Walker,Temperature,-21.4,OK
2055-10-12T08:10:22Z,R-04,Hover,Atmosphere,93.7,OK
2055-10-12T08:10:24Z,R-02,Hover,Temperature,-50.5,OK
2055-10-12T08:10:29Z,R-03,Walker,Atmosphere,97.2,OK
2055-10-12T08:10:33Z,R-03,Walker,Temperature,-39.1,OK
2055-10-12T08:10:35Z,R-01,Tracked,Temperature,-30.4,OK
2055-10-12T08:10:39Z,R-04,Hover,Atmosphere,92.2,OK
2055-10-12T08:10:40Z,R-03,Walker,Radiation,262.9,OK
2055-10-12T08:10:45Z,R-04,Hover,Temperature,-31.5,OK
2055-10-12T08:10:49Z,R-02,Hover,Radiation,71.4,OK
2055-10-12T08:10:52Z,R-02,Hover,Temperature,-73.6,OK
2055-10-12T08:10:57Z,R-02,Hover,Radiation,185.7,OK
2055-10-12T08:11:00Z,R-02,Hover,Temperature,-51.2,OK
2055-10-12T08:11:01Z,R-05,Tracked,Atmosphere,N/A,ERROR
2055-10-12T08:11:04Z,R-02,Hover,Atmosphere,NaN,ERROR
2055-10-12T08:11:06Z,R-05,Tracked,Atmosphere,91.4,OK
2055-10-12T08:11:08Z,R-04,Hover,Radiation,107.4,OK
2055-10-12T08:11:10Z,R-02,Hover,Radiation,55.6,OK
2055-10-12T08:11:13Z,R-03,Walker,Temperature,-35.7,OK
2055-10-12T08:11:17Z,R-04,Hover,Radiation,54.3,OK
2055-10-12T08:11:21Z,R-05,Tracked,Radiation,92.3,OK
2055-10-12T08:11:22Z,R-01,Tracked,Atmosphere,90.9,OK
2055-10-12T08:11:25Z,R-01,Tracked,Atmosphere,97.2,OK
2055-10-12T08:11:29Z,R-03,Walker,Radiation,103.7,OK
2055-10-12T08:11:33Z,R-02,Hover,Atmosphere,90.6,WARNING
2055-10-12T08:11:36Z,R-01,Tracked,Temperature,-76.2,OK
2055-10-12T08:11:38Z,R-05,Tracked,Radiation,203.4,OK
2055-10-12T08:11:41Z,R-01,Tracked,Radiation,72.9,OK
2055-10-12T08:11:42Z,R-02,Hover,Temperature,-9999.0,ERROR
2055-10-12T08:11:46Z,R-03,Walker,Atmosphere,92.3,OK
2055-10-12T08:11:48Z,R-05,Tracked,Temperature,-9999.0,ERROR
2055-10-12T08:11:50Z,R-01,Tracked,Atmosphere,94.1,OK
2055-10-12T08:11:51Z,R-04,Hover,Radiation,53.7,OK
2055-10-12T08:11:52Z,R-02,Hover,Radiation,269.3,OK
2055-10-12T08:11:53Z,R-05,Tracked,Atmosphere,93.6,OK
2055-10-12T08:11:55Z,R-02,Hover,Temperature,-10.4,OK
2055-10-12T08:11:59Z,R-02,Hover,Temperature,-58.9,OK
2055-10-12T08:12:01Z,R-03,Walker,Atmosphere,90.9,ERROR
2055-10-12T08:12:02Z,R-03,Walker,Temperature,-19.2,OK
2055-10-12T08:12:05Z,R-01,Tracked,Temperature,-18.0,OK
2055-10-12T08:12:08Z,R-03,Walker,Atmosphere,97.1,WARNING
2055-10-12T08:12:13Z,R-04,Hover,Atmosphere,99.2,OK
2055-10-12T08:12:17Z,R-01,Tracked,Temperature,-22.1,WARNING
2055-10-12T08:12:22Z,R-04,Hover,Atmosphere,98.5,OK
2055-10-12T08:12:26Z,R-02,Hover,Radiation,,ERROR
2055-10-12T08:12:29Z,R-01,Tracked,Temperature,-45.9,OK
2055-10-12T08:12:31Z,R-02,Hover,Radiation,226.8,OK
2055-10-12T08:12:34Z,R-03,Walker,Temperature,-51.1,OK
2055-10-12T08:12:38Z,R-03,Walker,Radiation,235.3,OK
2055-10-12T08:12:42Z,R-03,Walker,Radiation,84.4,OK
2055-10-12T08:12:43Z,R-04,Hover,Radiation,114.1,OK
2055-10-12T08:12:47Z,R-05,Tracked,Radiation,103.2,OK
2055-10-12T08:12:48Z,R-01,Tracked,Atmosphere,94.8,OK
2055-10-12T08:12:52Z,R-05,Tracked,Atmosphere,96.4,OK
2055-10-12T08:12:56Z,R-04,Hover,Atmosphere,91.5,OK
2055-10-12T08:13:00Z,R-02,Hover,Radiation,298.2,OK
2055-10-12T08:13:04Z,R-04,Hover,Atmosphere,94.5,OK
2055-10-12T08:13:05Z,R-02,Hover,Temperature,-9999.0,ERROR
2055-10-12T08:13:06Z,R-05,Tracked,Temperature,-79.8,OK
2055-10-12T08:13:08Z,R-02,Hover,Temperature,-13.8,OK
2055-10-12T08:13:11Z,R-05,Tracked,Temperature,-16.0,OK
2055-10-12T08:13:12Z,R-04,Hover,Radiation,124.5,OK
2055-10-12T08:13:16Z,R-02,Hover,Atmosphere,99.0,OK
2055-10-12T08:13:20Z,R-05,Tracked,Temperature,-24.9,OK
2055-10-12T08:13:24Z,R-03,Walker,Radiation,263.8,OK
2055-10-12T08:13:27Z,R-05,Tracked,Atmosphere,98.9,OK
2055-10-12T08:13:29Z,R-02,Hover,Atmosphere,97.0,OK
2055-10-12T08:13:31Z,R-02,Hover,Temperature,-24.9,ERROR
2055-10-12T08:13:35Z,R-03,Walker,Temperature,-49.4,OK
2055-10-12T08:13:37Z,R-05,Tracked,Atmosphere,93.4,OK
2055-10-12T08:13:41Z,R-05,Tracked,Temperature,-48.9,OK
2055-10-12T08:13:42Z,R-03,Walker,Temperature,-15.2,OK
2055-10-12T08:13:47Z,R-05,Tracked,Temperature,-26.1,OK
2055-10-12T08:13:48Z,R-05,Tracked,Atmosphere,91.9,ERROR
2055-10-12T08:13:51Z,R-05,Tracked,Temperature,-53.4,OK
2055-10-12T08:13:56Z,R-01,Tracked,Temperature,-33.4,OK
2055-10-12T08:13:58Z,R-02,Hover,Atmosphere,99.1,OK
2055-10-12T08:13:59Z,R-04,Hover,Radiation,216.4,OK
2055-10-12T08:14:00Z,R-01,Tracked,Temperature,-66.2,OK
2055-10-12T08:14:05Z,R-01,Tracked,Temperature,-65.0,OK
2055-10-12T08:14:07Z,R-02,Hover,Atmosphere,96.5,OK
2055-10-12T08:14:11Z,R-02,Hover,Radiation,206.9,OK
2055-10-12T08:14:12Z,R-02,Hover,Atmosphere,99.8,OK
2055-10-12T08:14:16Z,R-02,Hover,Temperature,5000.0,ERROR
2055-10-12T08:14:20Z,R-04,Hover,Atmosphere,95.8,OK
2055-10-12T08:14:23Z,R-02,Hover,Radiation,175.9,OK
2055-10-12T08:14:27Z,R-03,Walker,Radiation,480.7,WARNING
2055-10-12T08:14:29Z,R-01,Tracked,Atmosphere,97.1,OK
2055-10-12T08:14:33Z,R-03,Walker,Temperature,,ERROR
2055-10-12T08:14:35Z,R-01,Tracked,Radiation,210.2,OK
2055-10-12T08:14:37Z,R-01,Tracked,Radiation,96.7,OK
2055-10-12T08:14:40Z,R-04,Hover,Radiation,237.5,OK
2055-10-12T08:14:41Z,R-02,Hover,Temperature,-18.3,OK
2055-10-12T08:14:46Z,R-05,Tracked,Temperature,-66.9,OK
2055-10-12T08:14:48Z,R-02,Hover,Radiation,150.4,OK
2055-10-12T08:14:52Z,R-01,Tracked,Radiation,99999.0,ERROR
2055-10-12T08:14:57Z,R-03,Walker,Atmosphere,95.9,OK
2055-10-12T08:15:01Z,R-05,Tracked,Temperature,-75.2,OK
2055-10-12T08:15:03Z,R-05,Tracked,Atmosphere,96.6,OK
2055-10-12T08:15:08Z,R-02,Hover,Atmosphere,91.2,OK
2055-10-12T08:15:09Z,R-01,Tracked,Atmosphere,94.0,OK
2055-10-12T08:15:12Z,R-01,Tracked,Radiation,237.8,OK
2055-10-12T08:15:15Z,R-02,Hover,Temperature,-40.1,OK
2055-10-12T08:15:17Z,R-05,Tracked,Radiation,94.7,OK
2055-10-12T08:15:20Z,R-04,Hover,Atmosphere,93.3,OK
2055-10-12T08:15:25Z,R-01,Tracked,Radiation,60.8,OK
2055-10-12T08:15:28Z,R-04,Hover,Radiation,157.5,OK
2055-10-12T08:15:31Z,R-03,Walker,Radiation,ERR,ERROR
2055-10-12T08:15:32Z,R-03,Walker,Temperature,-27.7,OK
2055-10-12T08:15:35Z,R-04,Hover,Radiation,N/A,ERROR
2055-10-12T08:15:36Z,R-01,Tracked,Radiation,#VALUE!,ERROR
2055-10-12T08:15:37Z,R-04,Hover,Temperature,-62.3,WARNING
2055-10-12T08:15:39Z,R-02,Hover,Temperature,,ERROR
2055-10-12T08:15:44Z,R-04,Hover,Radiation,77.6,OK
2055-10-12T08:15:46Z,R-01,Tracked,Atmosphere,93.2,OK
2055-10-12T08:15:51Z,R-03,Walker,Temperature,-71.3,OK
2055-10-12T08:15:56Z,R-04,Hover,Temperature,-78.3,OK
2055-10-12T08:16:00Z,R-01,Tracked,Radiation,99999.0,ERROR
2055-10-12T08:16:01Z,R-03,Walker,Temperature,-31.9,OK
2055-10-12T08:16:06Z,R-02,Hover,Radiation,103.0,OK
2055-10-12T08:16:10Z,R-04,Hover,Radiation,205.4,OK
2055-10-12T08:16:13Z,R-02,Hover,Radiation,NULL,ERROR
2055-10-12T08:16:15Z,R-02,Hover,Temperature,-20.6,OK
2055-10-12T08:16:20Z,R-01,Tracked,Temperature,-41.0,OK
2055-10-12T08:16:22Z,R-02,Hover,Radiation,NaN,ERROR
2055-10-12T08:16:27Z,R-05,Tracked,Temperature,-65.8,OK
2055-10-12T08:16:32Z,R-03,Walker,Temperature,,ERROR
2055-10-12T08:16:33Z,R-01,Tracked,Atmosphere,90.3,OK
2055-10-12T08:16:36Z,R-02,Hover,Temperature,-36.7,OK
2055-10-12T08:16:40Z,R-05,Tracked,Atmosphere,97.6,OK
2055-10-12T08:16:42Z,R-04,Hover,Radiation,267.3,OK
2055-10-12T08:16:47Z,R-01,Tracked,Temperature,-45.9,OK
2055-10-12T08:16:50Z,R-02,Hover,Radiation,178.2,OK
2055-10-12T08:16:55Z,R-03,Walker,Radiation,170.5,OK
2055-10-12T08:16:56Z,R-04,Hover,Temperature,-52.1,OK
2055-10-12T08:16:59Z,R-02,Hover,Temperature,-68.1,OK
2055-10-12T08:17:00Z,R-04,Hover,Temperature,-27.2,OK
2055-10-12T08:17:01Z,R-01,Tracked,Temperature,-26.2,OK
2055-10-12T08:17:06Z,R-03,Walker,Temperature,-76.2,OK
2055-10-12T08:17:11Z,R-04,Hover,Temperature,-39.8,OK
2055-10-12T08:17:13Z,R-03,Walker,Radiation,168.1,OK
2055-10-12T08:17:16Z,R-03,Walker,Atmosphere,91.7,OK
2055-10-12T08:17:21Z,R-05,Tracked,Temperature,-13.3,OK
2055-10-12T08:17:26Z,R-04,Hover,Temperature,NaN,ERROR
2055-10-12T08:17:31Z,R-03,Walker,Atmosphere,99.8,OK
2055-10-12T08:17:32Z,R-01,Tracked,Temperature,-64.4,ERROR
2055-10-12T08:17:34Z,R-02,Hover,Temperature,-25.7,OK
2055-10-12T08:17:39Z,R-01,Tracked,Temperature,-17.2,OK
2055-10-12T08:17:42Z,R-04,Hover,Atmosphere,99.9,OK
2055-10-12T08:17:46Z,R-04,Hover,Temperature,ERR,ERROR
2055-10-12T08:17:51Z,R-03,Walker,Temperature,-75.2,WARNING
2055-10-12T08:17:53Z,R-02,Hover,Temperature,-79.7,OK
2055-10-12T08:17:54Z,R-02,Hover,Temperature,-59.2,OK
2055-10-12T08:17:55Z,R-02,Hover,Temperature,-32.8,OK
2055-10-12T08:17:56Z,R-03,Walker,Atmosphere,94.4,OK
2055-10-12T08:18:01Z,R-04,Hover,Atmosphere,90.8,OK
2055-10-12T08:18:05Z,R-05,Tracked,Temperature,-68.5,OK
2055-10-12T08:18:10Z,R-03,Walker,Radiation,226.1,OK
2055-10-12T08:18:13Z,R-03,Walker,Radiation,145.8,OK
2055-10-12T08:18:18Z,R-05,Tracked,Temperature,-24.9,OK
2055-10-12T08:18:21Z,R-01,Tracked,Radiation,272.6,OK
2055-10-12T08:18:26Z,R-03,Walker,Atmosphere,92.4,OK
2055-10-12T08:18:28Z,R-04,Hover,Temperature,-17.5,OK
2055-10-12T08:18:32Z,R-03,Walker,Atmosphere,99.2,OK
2055-10-12T08:18:33Z,R-04,Hover,Atmosphere,97.8,OK
2055-10-12T08:18:35Z,R-04,Hover,Atmosphere,97.9,OK
2055-10-12T08:18:36Z,R-03,Walker,Atmosphere,95.4,OK
2055-10-12T08:18:38Z,R-04,Hover,Temperature,-69.1,OK
2055-10-12T08:18:43Z,R-05,Tracked,Radiation,128.5,OK
2055-10-12T08:18:48Z,R-05,Tracked,Atmosphere,NaN,ERROR
2055-10-12T08:18:51Z,R-04,Hover,Temperature,-50.8,OK
2055-10-12T08:18:55Z,R-03,Walker,Radiation,250.3,OK
2055-10-12T08:18:57Z,R-01,Tracked,Radiation,60.2,OK
2055-10-12T08:19:01Z,R-02,Hover,Temperature,-47.9,OK
2055-10-12T08:19:02Z,R-02,Hover,Atmosphere,95.9,OK
2055-10-12T08:19:05Z,R-04,Hover,Radiation,249.5,OK
2055-10-12T08:19:07Z,R-02,Hover,Radiation,121.9,OK
2055-10-12T08:19:12Z,R-05,Tracked,Temperature,-24.4,OK
2055-10-12T08:19:14Z,R-03,Walker,Atmosphere,99.5,OK
2055-10-12T08:19:19Z,R-01,Tracked,Temperature,-56.3,OK
2055-10-12T08:19:20Z,R-03,Walker,Atmosphere,95.7,OK
